№;Название;Описание;Фото
122;"П-Солонка 50 мл. ""VENDANGE белый""";;/images/122.png
123;П-Соусник 100 мл La Rose Des Sables Contrast белый(ЗАВТРАК);;/images/123.png
124;"П-Стакан для зубочисток ""VENDANGE белый""";;/images/124.png
125;П-СТОЛОВАЯ ВИЛКА INOX 18/10;;/images/125.png
126;П-СТОЛОВАЯ ЛОЖКА INOX 18/10/  Ложка столовая 21,3 см, Contour 18/10;;/images/126.png
127;П-СТОЛОВЫЙ НОЖ INOX 18/10;;/images/127.png
128;П-Стопка «Бостон шот» стекло 40мл D=41,H=70мм прозр.(ДЛЯ КОМПЛЕМ);;/images/128.png
129;П-Супница 100 мл La Rose Des Sables Buffet & Catering(кТом-яму  под РИС 6*5,5 см);;/images/129.png
130;П-Тарелка «Голубка» мелкая фарфорD=20см белый(ДЛЯ ПЕРСОНАЛА);;/images/130.png
131;П-Тарелка Madera глубокая 23см мятное дерево(ЗАВТРАК);;/images/131.png
132;П-Тарелка Madera глубокая 27 см мятное дерево(ЗАВТРАК);;/images/132.png
133;П-Тарелка Odette плоская 21см олива (ЗАВТРАК);;/images/133.png
134;П-ТАРЕЛКА ГЛУБОКАЯ - 23 СМ. (ШЛЯПА МАЛ);;/images/134.png
135;П-Тарелки десертные 4 шт CMIELOW Rococo, фарфоровые, 21 см;;/images/135.png
136;П-Тарелка для комплимента, -  Д 8см, 48шт/уп. ZINA,(завтрак);;/images/136.png
137;П-Тарелка для пасты «С-Класс» фарфор 450мл D=27/15,H=5см белый (ШЛЯПА БОЛ 03011775);;/images/137.png
138;П-Тарелка круглая Чехия 30 см;;/images/138.png
139;П-Тарелка обеденная - 26см. VENDANGE(сервировочная);;/images/139.png
140;П-Тарелка пирожковая, Д 16см, 12 шт/уп VENDANGES, 690116;;/images/140.png
141;П-Тарелка плоская THERAPY AURA 25см, зеленый(ЗАВТРАК);;/images/141.png
142;П-Хлебница на магнитах;;/images/142.png
143;П-Чайник 350 мл 8*12 см  DIDON;;/images/143.png
144;П-Чайник заварочный 1,0 л VENDANGE PLATINE;;/images/144.png
145;П-Чайник, V - 650мг, Д 10х18см, - 6шт/уп. DIDON 92965;;/images/145.png
146;П-Чайная пара, V 200мл VENDANGE FILET PLATINE (АМЕРИКАНО) 699506;;/images/146.png
147;П-ЧАШКА С БЛЮДЦЕМ 340 МЛ(ДВ КАПУЧИНО);;/images/147.png
148;"П-Щипцы черная ручка «Проотель»; сталь нерж., резина; L=240/85, B=40мм; металлич., черный( для хлеба)";;/images/148.png
149;Подставка с ручкой для шотов;;/images/149.png
150;"Скребок д/уборки стола «Проотель»;сталь нерж.;L=15,B=1.5см;металлич.";;/images/150.png
